** Nome da estrutura **
Nome
sm
_____________________________________________________

** Coordenadas da estrutura **
x (m)	y (m)	z (m)
0.0	0.0	0.0
10.0	0.0	0.0
10.0	10.0	0.0
0.0	10.0	0.0
_____________________________________________________

** Nos **
Id	x (m)	y (m)	z (m)	Sup	Carga conc	Desl
0	0.0	0.0	0.0	2	null	null
1	0.5	0.0	0.0	2	null	null
2	1.0	0.0	0.0	2	null	null
3	1.5	0.0	0.0	2	null	null
4	2.0	0.0	0.0	2	null	null
5	2.5	0.0	0.0	2	null	null
6	3.0	0.0	0.0	2	null	null
7	3.5	0.0	0.0	2	null	null
8	4.0	0.0	0.0	2	null	null
9	4.5	0.0	0.0	2	null	null
10	5.0	0.0	0.0	2	null	null
11	5.5	0.0	0.0	2	null	null
12	6.0	0.0	0.0	2	null	null
13	6.5	0.0	0.0	2	null	null
14	7.0	0.0	0.0	2	null	null
15	7.5	0.0	0.0	2	null	null
16	8.0	0.0	0.0	2	null	null
17	8.5	0.0	0.0	2	null	null
18	9.0	0.0	0.0	2	null	null
19	9.5	0.0	0.0	2	null	null
20	10.0	0.0	0.0	2	null	null
21	0.0	0.5	0.0	2	null	null
22	0.5	0.5	0.0	-1	null	null
23	1.0	0.5	0.0	-1	null	null
24	1.5	0.5	0.0	-1	null	null
25	2.0	0.5	0.0	-1	null	null
26	2.5	0.5	0.0	-1	null	null
27	3.0	0.5	0.0	-1	null	null
28	3.5	0.5	0.0	-1	null	null
29	4.0	0.5	0.0	-1	null	null
30	4.5	0.5	0.0	-1	null	null
31	5.0	0.5	0.0	-1	null	null
32	5.5	0.5	0.0	-1	null	null
33	6.0	0.5	0.0	-1	null	null
34	6.5	0.5	0.0	-1	null	null
35	7.0	0.5	0.0	-1	null	null
36	7.5	0.5	0.0	-1	null	null
37	8.0	0.5	0.0	-1	null	null
38	8.5	0.5	0.0	-1	null	null
39	9.0	0.5	0.0	-1	null	null
40	9.5	0.5	0.0	-1	null	null
41	10.0	0.5	0.0	2	null	null
42	0.0	1.0	0.0	2	null	null
43	0.5	1.0	0.0	-1	null	null
44	1.0	1.0	0.0	-1	null	null
45	1.5	1.0	0.0	-1	null	null
46	2.0	1.0	0.0	-1	null	null
47	2.5	1.0	0.0	-1	null	null
48	3.0	1.0	0.0	-1	null	null
49	3.5	1.0	0.0	-1	null	null
50	4.0	1.0	0.0	-1	null	null
51	4.5	1.0	0.0	-1	null	null
52	5.0	1.0	0.0	-1	null	null
53	5.5	1.0	0.0	-1	null	null
54	6.0	1.0	0.0	-1	null	null
55	6.5	1.0	0.0	-1	null	null
56	7.0	1.0	0.0	-1	null	null
57	7.5	1.0	0.0	-1	null	null
58	8.0	1.0	0.0	-1	null	null
59	8.5	1.0	0.0	-1	null	null
60	9.0	1.0	0.0	-1	null	null
61	9.5	1.0	0.0	-1	null	null
62	10.0	1.0	0.0	2	null	null
63	0.0	1.5	0.0	2	null	null
64	0.5	1.5	0.0	-1	null	null
65	1.0	1.5	0.0	-1	null	null
66	1.5	1.5	0.0	-1	null	null
67	2.0	1.5	0.0	-1	null	null
68	2.5	1.5	0.0	-1	null	null
69	3.0	1.5	0.0	-1	null	null
70	3.5	1.5	0.0	-1	null	null
71	4.0	1.5	0.0	-1	null	null
72	4.5	1.5	0.0	-1	null	null
73	5.0	1.5	0.0	-1	null	null
74	5.5	1.5	0.0	-1	null	null
75	6.0	1.5	0.0	-1	null	null
76	6.5	1.5	0.0	-1	null	null
77	7.0	1.5	0.0	-1	null	null
78	7.5	1.5	0.0	-1	null	null
79	8.0	1.5	0.0	-1	null	null
80	8.5	1.5	0.0	-1	null	null
81	9.0	1.5	0.0	-1	null	null
82	9.5	1.5	0.0	-1	null	null
83	10.0	1.5	0.0	2	null	null
84	0.0	2.0	0.0	2	null	null
85	0.5	2.0	0.0	-1	null	null
86	1.0	2.0	0.0	-1	null	null
87	1.5	2.0	0.0	-1	null	null
88	2.0	2.0	0.0	-1	null	null
89	2.5	2.0	0.0	-1	null	null
90	3.0	2.0	0.0	-1	null	null
91	3.5	2.0	0.0	-1	null	null
92	4.0	2.0	0.0	-1	null	null
93	4.5	2.0	0.0	-1	null	null
94	5.0	2.0	0.0	-1	null	null
95	5.5	2.0	0.0	-1	null	null
96	6.0	2.0	0.0	-1	null	null
97	6.5	2.0	0.0	-1	null	null
98	7.0	2.0	0.0	-1	null	null
99	7.5	2.0	0.0	-1	null	null
100	8.0	2.0	0.0	-1	null	null
101	8.5	2.0	0.0	-1	null	null
102	9.0	2.0	0.0	-1	null	null
103	9.5	2.0	0.0	-1	null	null
104	10.0	2.0	0.0	2	null	null
105	0.0	2.5	0.0	2	null	null
106	0.5	2.5	0.0	-1	null	null
107	1.0	2.5	0.0	-1	null	null
108	1.5	2.5	0.0	-1	null	null
109	2.0	2.5	0.0	-1	null	null
110	2.5	2.5	0.0	-1	null	null
111	3.0	2.5	0.0	-1	null	null
112	3.5	2.5	0.0	-1	null	null
113	4.0	2.5	0.0	-1	null	null
114	4.5	2.5	0.0	-1	null	null
115	5.0	2.5	0.0	-1	null	null
