** Nome da estrutura **
Nome	
vigadeaco
_____________________________________________________

** Coordenadas da estrutura **
x (m)	y (m)	z (m)	
2.0	7.0	0.0
2.0	4.0	0.0
9.0	4.0	0.0
9.0	7.0	0.0
_____________________________________________________

** Nos **
Id	x (m)	y (m)	z (m)	Sup	Carga conc	Desl	
0	2.0	4.0	0.0	5	null	null
1	2.875	4.0	0.0	-1	null	null
2	3.75	4.0	0.0	-1	null	null
3	4.625	4.0	0.0	-1	null	null
4	5.5	4.0	0.0	-1	null	null
5	6.375	4.0	0.0	-1	null	null
6	7.25	4.0	0.0	-1	null	null
7	8.125	4.0	0.0	-1	null	null
8	9.0	4.0	0.0	-1	null	null
9	2.0	4.375	0.0	5	null	null
10	2.875	4.375	0.0	-1	null	null
11	3.75	4.375	0.0	-1	null	null
12	4.625	4.375	0.0	-1	null	null
13	5.5	4.375	0.0	-1	null	null
14	6.375	4.375	0.0	-1	null	null
15	7.25	4.375	0.0	-1	null	null
16	8.125	4.375	0.0	-1	null	null
17	9.0	4.375	0.0	-1	null	null
18	2.0	4.75	0.0	5	null	null
19	2.875	4.75	0.0	-1	null	null
20	3.75	4.75	0.0	-1	null	null
21	4.625	4.75	0.0	-1	null	null
22	5.5	4.75	0.0	-1	null	null
23	6.375	4.75	0.0	-1	null	null
24	7.25	4.75	0.0	-1	null	null
25	8.125	4.75	0.0	-1	null	null
26	9.0	4.75	0.0	-1	null	null
27	2.0	5.125	0.0	5	null	null
28	2.875	5.125	0.0	-1	null	null
29	3.75	5.125	0.0	-1	null	null
30	4.625	5.125	0.0	-1	null	null
31	5.5	5.125	0.0	-1	null	null
32	6.375	5.125	0.0	-1	null	null
33	7.25	5.125	0.0	-1	null	null
34	8.125	5.125	0.0	-1	null	null
35	9.0	5.125	0.0	-1	null	null
36	2.0	5.5	0.0	5	null	null
37	2.875	5.5	0.0	-1	null	null
38	3.75	5.5	0.0	-1	null	null
39	4.625	5.5	0.0	-1	null	null
40	5.5	5.5	0.0	-1	null	null
41	6.375	5.5	0.0	-1	null	null
42	7.25	5.5	0.0	-1	null	null
43	8.125	5.5	0.0	-1	null	null
44	9.0	5.5	0.0	-1	null	null
45	2.0	5.875	0.0	5	null	null
46	2.875	5.875	0.0	-1	null	null
47	3.75	5.875	0.0	-1	null	null
48	4.625	5.875	0.0	-1	null	null
49	5.5	5.875	0.0	-1	null	null
50	6.375	5.875	0.0	-1	null	null
51	7.25	5.875	0.0	-1	null	null
52	8.125	5.875	0.0	-1	null	null
53	9.0	5.875	0.0	-1	null	null
54	2.0	6.25	0.0	5	null	null
55	2.875	6.25	0.0	-1	null	null
56	3.75	6.25	0.0	-1	null	null
57	4.625	6.25	0.0	-1	null	null
58	5.5	6.25	0.0	-1	null	null
59	6.375	6.25	0.0	-1	null	null
60	7.25	6.25	0.0	-1	null	null
61	8.125	6.25	0.0	-1	null	null
62	9.0	6.25	0.0	-1	null	null
63	2.0	6.625	0.0	5	null	null
64	2.875	6.625	0.0	-1	null	null
65	3.75	6.625	0.0	-1	null	null
66	4.625	6.625	0.0	-1	null	null
67	5.5	6.625	0.0	-1	null	null
68	6.375	6.625	0.0	-1	null	null
69	7.25	6.625	0.0	-1	null	null
70	8.125	6.625	0.0	-1	null	null
71	9.0	6.625	0.0	-1	null	null
72	2.0	7.0	0.0	5	null	null
73	2.875	7.0	0.0	-1	null	null
74	3.75	7.0	0.0	-1	null	null
